# OoTMM renewable check locations (packages/logic/src/locations.ts
# RENEWABLE_LOCATIONS) and their vanilla item (data/checks/**/*.xml).
# Generated by tools/gen_renewables.py - do not edit by hand.
# types: cow, fairy, fairy-spot, fish, gossip, gossip-big, scrub, shop
# location	vanilla item (empty = random / nothing)
OOT MQ Ganon Castle Left-Center Scrub	OOT_BOMBS_5
OOT MQ Ganon Castle Leftmost Scrub	OOT_POTION_GREEN
OOT MQ Ganon Castle Right-Center Scrub	OOT_POTION_RED
OOT MQ Ganon Castle Rightmost Scrub	OOT_NUTS_5
OOT MQ Jabu-Jabu Cow	OOT_MILK
OOT MQ Shadow Temple Beamos Big Fairy	OOT_FAIRY_BIG
OOT MQ Shadow Temple Big Fairy After Wind	OOT_FAIRY_BIG
OOT MQ Shadow Temple Guillotines Room Big Fairy	OOT_FAIRY_BIG
OOT MQ Spirit Temple Dinolfos Room Big Fairy	OOT_FAIRY_BIG
OOT MQ Water Temple Big Fairy Before Dark Link Ledge	OOT_FAIRY_BIG
OOT MQ Water Temple Big Fairy Before Dark Link Near Door 1	OOT_FAIRY_BIG
OOT MQ Water Temple Big Fairy Before Dark Link Near Door 2	OOT_FAIRY_BIG
OOT Market Bazaar Item 1	OOT_ARROWS_5
OOT Market Bazaar Item 2	OOT_ARROWS_10
OOT Market Bazaar Item 3	OOT_ARROWS_30
OOT Market Bazaar Item 4	OOT_STICK
OOT Market Bazaar Item 5	OOT_BOMBS_5
OOT Market Bazaar Item 6	OOT_RECOVERY_HEART
OOT Market Bazaar Item 7	OOT_NUTS_5
OOT Market Bazaar Item 8	OOT_SHIELD_HYLIAN
OOT Market Bombchu Shop Item 1	OOT_BOMBCHU_20
OOT Market Bombchu Shop Item 2	OOT_BOMBCHU_20
OOT Market Bombchu Shop Item 3	OOT_BOMBCHU_20
OOT Market Bombchu Shop Item 4	OOT_BOMBCHU_20
OOT Market Bombchu Shop Item 5	OOT_BOMBCHU_10
OOT Market Bombchu Shop Item 6	OOT_BOMBCHU_10
OOT Market Bombchu Shop Item 7	OOT_BOMBCHU_10
OOT Market Bombchu Shop Item 8	OOT_BOMBCHU_10
OOT Market Potion Shop Item 1	OOT_FISH
OOT Market Potion Shop Item 2	OOT_BUGS
OOT Market Potion Shop Item 3	OOT_POE
OOT Market Potion Shop Item 4	OOT_NUTS_5
OOT Market Potion Shop Item 5	OOT_BLUE_FIRE
OOT Market Potion Shop Item 6	OOT_FAIRY
OOT Market Potion Shop Item 7	OOT_POTION_GREEN
OOT Market Potion Shop Item 8	OOT_POTION_RED
OOT Sacred Meadow Fairy Fountain Fairy 1	OOT_FAIRY
OOT Sacred Meadow Fairy Fountain Fairy 2	OOT_FAIRY
OOT Sacred Meadow Fairy Fountain Fairy 3	OOT_FAIRY
OOT Sacred Meadow Fairy Fountain Fairy 4	OOT_FAIRY
OOT Sacred Meadow Fairy Fountain Fairy 5	OOT_FAIRY
OOT Sacred Meadow Fairy Fountain Fairy 6	OOT_FAIRY
OOT Sacred Meadow Fairy Fountain Fairy 7	OOT_FAIRY
OOT Sacred Meadow Fairy Fountain Fairy 8	OOT_FAIRY
OOT Sacred Meadow Gossip Big Fairy Deep	OOT_FAIRY_BIG
OOT Sacred Meadow Gossip Big Fairy Maze 1	OOT_FAIRY_BIG
OOT Sacred Meadow Gossip Big Fairy Maze 2	OOT_FAIRY_BIG
OOT Sacred Meadow Gossip Fairy Deep	OOT_FAIRY
OOT Sacred Meadow Gossip Fairy Maze 1	OOT_FAIRY
OOT Sacred Meadow Gossip Fairy Maze 2	OOT_FAIRY
OOT Sacred Meadow Storms Grotto Back Scrub	OOT_POTION_RED
OOT Sacred Meadow Storms Grotto Front Scrub	OOT_POTION_GREEN
OOT Shadow Temple Beamos Big Fairy	OOT_FAIRY_BIG
OOT Shadow Temple Big Fairy After Wind	OOT_FAIRY_BIG
OOT Shadow Temple Stalfos Big Fairy	OOT_FAIRY_BIG
OOT Spirit Temple Adult Silver Rupees Big Fairy	OOT_FAIRY_BIG
OOT Spirit Temple Adult Sunlight Big Fairy	OOT_FAIRY_BIG
OOT Temple of Time Exterior Gossip Big Fairy 1	OOT_FAIRY_BIG
OOT Temple of Time Exterior Gossip Big Fairy 2	OOT_FAIRY_BIG
OOT Temple of Time Exterior Gossip Big Fairy 3	OOT_FAIRY_BIG
OOT Temple of Time Exterior Gossip Big Fairy 4	OOT_FAIRY_BIG
OOT Temple of Time Exterior Gossip Fairy 1	OOT_FAIRY
OOT Temple of Time Exterior Gossip Fairy 2	OOT_FAIRY
OOT Temple of Time Exterior Gossip Fairy 3	OOT_FAIRY
OOT Temple of Time Exterior Gossip Fairy 4	OOT_FAIRY
OOT Zora Domain Fairy Fountain Fairy 1	OOT_FAIRY
OOT Zora Domain Fairy Fountain Fairy 2	OOT_FAIRY
OOT Zora Domain Fairy Fountain Fairy 3	OOT_FAIRY
OOT Zora Domain Fairy Fountain Fairy 4	OOT_FAIRY
OOT Zora Domain Fairy Fountain Fairy 5	OOT_FAIRY
OOT Zora Domain Fairy Fountain Fairy 6	OOT_FAIRY
OOT Zora Domain Fairy Fountain Fairy 7	OOT_FAIRY
OOT Zora Domain Fairy Fountain Fairy 8	OOT_FAIRY
OOT Zora Domain Gossip Big Fairy	OOT_FAIRY_BIG
OOT Zora Domain Gossip Fairy	OOT_FAIRY
OOT Zora Fountain Gossip Big Fairy Land	OOT_FAIRY_BIG
OOT Zora Fountain Gossip Big Fairy Water	OOT_FAIRY_BIG
OOT Zora Fountain Gossip Fairy Land	OOT_FAIRY
OOT Zora Fountain Gossip Fairy Water	OOT_FAIRY
OOT Zora River Fairy Fountain Fairy 1	OOT_FAIRY
OOT Zora River Fairy Fountain Fairy 2	OOT_FAIRY
OOT Zora River Fairy Fountain Fairy 3	OOT_FAIRY
OOT Zora River Fairy Fountain Fairy 4	OOT_FAIRY
OOT Zora River Fairy Fountain Fairy 5	OOT_FAIRY
OOT Zora River Fairy Fountain Fairy 6	OOT_FAIRY
OOT Zora River Fairy Fountain Fairy 7	OOT_FAIRY
OOT Zora River Fairy Fountain Fairy 8	OOT_FAIRY
OOT Zora River Generic Grotto Gossip Big Fairy	OOT_FAIRY_BIG
OOT Zora River Generic Grotto Gossip Fairy	OOT_FAIRY
OOT Zora River Gossip Big Fairy Upper	OOT_FAIRY_BIG
OOT Zora River Gossip Big Fairy Water	OOT_FAIRY_BIG
OOT Zora River Gossip Fairy Upper	OOT_FAIRY
OOT Zora River Gossip Fairy Water	OOT_FAIRY
OOT Zora River Storms Grotto Back Scrub	OOT_POTION_RED
OOT Zora River Storms Grotto Front Scrub	OOT_POTION_GREEN
OOT Zora Shop Item 1	OOT_POTION_RED
OOT Zora Shop Item 2	OOT_ARROWS_30
OOT Zora Shop Item 3	OOT_FISH
OOT Zora Shop Item 4	OOT_NUTS_5
OOT Zora Shop Item 5	OOT_ARROWS_5
OOT Zora Shop Item 6	OOT_ARROWS_10
OOT Zora Shop Item 7	OOT_TUNIC_ZORA
OOT Zora Shop Item 8	OOT_RECOVERY_HEART
