ID;Name;Render_Type;Can_Be_Shared;;;;
MM_UNK_2D;40 Deku Nuts (MM);nut;true;;;;
MM_UNK_2F;20 Deku Sticks (MM);stick;true;;;;
MM_UNK_30;20 Deku Sticks (MM);stick;true;;;;
MM_UNK_31;30 Deku Sticks (MM);stick;true;;;;
MM_PROG_WALLET;Progressive Wallet (MM);wallet;true;;;;
MM_WALLET;Child Wallet (MM);child_wallet;true;;;;
MM_WALLET2;Adult Wallet (MM);wallet;true;;;;
MM_WALLET3;Giant Wallet (MM);big_wallet;true;;;;
MM_WALLET4;Colossal Wallet (MM);colossal_wallet;true;;;;
MM_WALLET5;Bottomless Wallet (MM);bottomless_wallet;true;;;;
MM_WEIRD_MUSHROOM;Magic Mushroom;bottled_mushroom;true;;;;
MM_WORLD_MAP_CLOCK_TOWN;World Map of Clock Town;map;false;;;;
MM_WORLD_MAP_GREAT_BAY;World Map of Great Bay;map;false;;;;
MM_WORLD_MAP_ROMANI_RANCH;World Map of Ranch;map;false;;;;
MM_WORLD_MAP_SNOWHEAD;World Map of Snowhead;map;false;;;;
MM_WORLD_MAP_STONE_TOWER;World Map of Stone Tower;map;false;;;;
MM_WORLD_MAP_WOODFALL;World Map of Woodfall;map;false;;;;
NOTHING;Nothing;nothing;false;;;;
OOT_ARROW_FIRE;Fire Arrows (OoT);fire_arrow;true;;;;
OOT_ARROW_ICE;Ice Arrows (OoT);ice_arrow;true;;;;
OOT_ARROW_LIGHT;Light Arrows (OoT);light_arrow;true;;;;
OOT_ARROWS_10;10 Arrows (OoT);arrow;true;;;;
OOT_ARROWS_30;30 Arrows (OoT);arrow;true;;;;
OOT_ARROWS_5;5 Arrows (OoT);arrow;true;;;;
OOT_BIG_POE;Big Poe (OoT);bottled_big_poe;true;;;;
OOT_BLUE_FIRE;Blue Fire;blue_fire;true;;;;
OOT_BOMB;Bomb (OoT);bomb;true;;;;
OOT_BOMB_BAG;Bomb Bag (OoT);bomb_bag;true;;;;
OOT_BOMB_BAG2;Big Bomb Bag (OoT);big_bomb;true;;;;
OOT_BOMB_BAG3;Biggest Bomb Bag (OoT);biggest_bomb;true;;;;
OOT_BOMBCHU_10;10 Bombchu (OoT);bombchu;true;;;;
OOT_BOMBCHU_20;20 Bombchu (OoT);bombchu;true;;;;
OOT_BOMBCHU_5;5 Bombchu (OoT);bombchu;true;;;;
OOT_BOMBCHU_BAG;Bombchu Bag (OoT);bombchu_bag;true;;;;
OOT_BOMBCHU_BAG_FIRST_10;Bombchu Bag (OoT);bombchu_bag;true;;;;
OOT_BOMBCHU_BAG_FIRST_20;Bombchu Bag (OoT);bombchu_bag;true;;;;
OOT_BOMBCHU_BAG_FIRST_5;Bombchu Bag (OoT);bombchu_bag;true;;;;
OOT_BOMBCHU_BAG2;Big Bombchu Bag (OoT);bombchu_bag;true;;;;
OOT_BOMBCHU_BAG3;Biggest Bombchu Bag (OoT);bombchu_bag;true;;;;
OOT_BOMBS_10;10 Bombs (OoT);bomb;true;;;;
OOT_BOMBS_20;20 Bombs (OoT);bomb;true;;;;
OOT_BOMBS_30;30 Bombs (OoT);bomb;true;;;;
OOT_BOMBS_5;5 Bombs (OoT);bomb;true;;;;
OOT_BOOMERANG;Boomerang (OoT);boomerang;true;;;;
OOT_BOOTS_HOVER;Hover Boots (OoT);hover;true;;;;
OOT_BOOTS_IRON;Iron Boots (OoT);iron;true;;;;
OOT_BOSS_KEY;Boss Key (OoT);boss_key;false;;;;
OOT_BOSS_KEY_FIRE;Boss Key (Fire Temple);boss_key;false;;;;
OOT_BOSS_KEY_FOREST;Boss Key (Forest Temple);boss_key;false;;;;
OOT_BOSS_KEY_GANON;Boss Key (Ganon's Castle);boss_key;false;;;;
OOT_BOSS_KEY_SHADOW;Boss Key (Shadow Temple);boss_key;false;;;;
OOT_BOSS_KEY_SPIRIT;Boss Key (Spirit Temple);boss_key;false;;;;
OOT_BOSS_KEY_WATER;Boss Key (Water Temple);boss_key;false;;;;
OOT_BOTTLE_BIG_POE;Bottled Big Poe (OoT);bottled_big_poe;true;;;;
OOT_BOTTLE_BLUE_FIRE;Bottle of Blue Fire;blue_fire;true;;;;
OOT_BOTTLE_CHATEAU;Bottle of Chateau Romani;chateau;true;;;;
OOT_BOTTLE_EMPTY;Empty Bottle (OoT);bottle;true;;;;
OOT_BOTTLE_FAIRY;Bottled Fairy (OoT);bottled_fairy;true;;;;
OOT_BOTTLE_MILK;Bottle of Milk (OoT);milk;true;;;;
OOT_BOTTLE_POE;Bottled Poe (OoT);bottled_poe;true;;;;
OOT_BOTTLE_POTION_BLUE;Bottle of Blue Potion (OoT);blue_potion;true;;;;
OOT_BOTTLE_POTION_GREEN;Bottle of Green Potion (OoT);green_potion;true;;;;
OOT_BOTTLE_POTION_RED;Bottle of Red Potion (OoT);red_potion;true;;;;
OOT_BOTTLE_RUTO_LETTER;Ruto's Letter;ruto;true;;;;
OOT_BOTTLED_GOLD_DUST;Bottle of Gold Dust;dust;true;;;;
OOT_BOW;Fairy Bow (OoT);bow_oot;true;;;;
OOT_BROKEN_GORON_SWORD;Broken Goron's Sword;broken_big;false;;;;
OOT_BUGS;Bugs (OoT);bottled_bugs;true;;;;
OOT_BULLET_BAG;Bullet Bag;big_seed;false;;;;
OOT_BULLET_BAG2;Large Bullet Bag (OoT);biggest_seed;false;;;;
OOT_BULLET_BAG3;Largest Bullet Bag (OoT);biggest_seed;false;;;;
OOT_BUTTON_A;A Button (OoT);a_button;true;;;;
OOT_BUTTON_C_DOWN;C-Down Button (OoT);c_down;true;;;;
OOT_BUTTON_C_LEFT;C-Left Button (OoT);c_left;true;;;;
OOT_BUTTON_C_RIGHT;C-Right Button (OoT);c_right;true;;;;
OOT_BUTTON_C_UP;C-Up Button (OoT);c_up;true;;;;
OOT_CHATEAU;Chateau Romani Refill;chateau;true;;;;
OOT_CHICKEN;Chicken;cucco;false;;;;
OOT_CLAIM_CHECK;Claim Check;claim;false;;;;
OOT_COIN_BLUE;Coin (Blue);blue_coin;false;;;;
OOT_COIN_GREEN;Coin (Green);green_coin;false;;;;
OOT_COIN_RED;Coin (Red);red_coin;false;;;;
OOT_COIN_YELLOW;Coin (Yellow);yellow_coin;false;;;;
OOT_COJIRO;Cojiro;cojiro;false;;;;
OOT_COMPASS;Compass (OoT);compass;false;;;;
OOT_COMPASS_BOTW;Compass (Bottom of the Well);compass;false;;;;
OOT_COMPASS_DC;Compass (Dodongo's Cavern);compass;false;;;;
OOT_COMPASS_DT;Compass (Deku Tree);compass;false;;;;
OOT_COMPASS_FIRE;Compass (Fire Temple);compass;false;;;;
OOT_COMPASS_FOREST;Compass (Forest Temple);compass;false;;;;
OOT_COMPASS_IC;Compass (Ice Cavern);compass;false;;;;
OOT_COMPASS_JJ;Compass (Jabu-Jabu's Belly);compass;false;;;;
OOT_COMPASS_SHADOW;Compass (Shadow Temple);compass;false;;;;
OOT_COMPASS_SPIRIT;Compass (Spirit Temple);compass;false;;;;
OOT_COMPASS_WATER;Compass (Water Temple);compass;false;;;;
OOT_DEFENSE_UPGRADE;Double Defense (OoT);defense;true;;;;
OOT_DEKU_SEEDS_30;30 Deku Seeds (OoT);seeds;true;;;;
OOT_DEKU_SEEDS_5;5 Deku Seeds (OoT);seeds;true;;;;
OOT_EYE_DROPS;Eye Drops;eye_drops;false;;;;
OOT_EYEBALL_FROG;Eyeball Frog;frog;false;;;;
OOT_FAIRY;Fairy (OoT);bottled_fairy;true;;;;
OOT_FAIRY_BIG;Big Fairy (OoT);fairy;true;;;;
OOT_FISH;Fish (OoT);bottled_fish;true;;;;
OOT_FISHING_POND_ADULT_FISH;Adult Fish (Placeholder);carp_fish;false;;;;
OOT_FISHING_POND_ADULT_FISH_10LBS;Adult Fish (10 pounds);carp_fish;false;;;;
OOT_FISHING_POND_ADULT_FISH_11LBS;Adult Fish (11 pounds);carp_fish;false;;;;
OOT_FISHING_POND_ADULT_FISH_12LBS;Adult Fish (12 pounds);carp_fish;false;;;;
OOT_FISHING_POND_ADULT_FISH_13LBS;Adult Fish (13 pounds);carp_fish;false;;;;
OOT_FISHING_POND_ADULT_FISH_14LBS;Adult Fish (14 pounds);carp_fish;false;;;;
OOT_FISHING_POND_ADULT_FISH_15LBS;Adult Fish (15 pounds);carp_fish;false;;;;
OOT_FISHING_POND_ADULT_FISH_16LBS;Adult Fish (16 pounds);carp_fish;false;;;;
OOT_FISHING_POND_ADULT_FISH_17LBS;Adult Fish (17 pounds);carp_fish;false;;;;
OOT_FISHING_POND_ADULT_FISH_18LBS;Adult Fish (18 pounds);carp_fish;false;;;;
OOT_FISHING_POND_ADULT_FISH_19LBS;Adult Fish (19 pounds);carp_fish;false;;;;
OOT_FISHING_POND_ADULT_FISH_20LBS;Adult Fish (20 pounds);carp_fish;false;;;;
OOT_FISHING_POND_ADULT_FISH_21LBS;Adult Fish (21 pounds);carp_fish;false;;;;
OOT_FISHING_POND_ADULT_FISH_22LBS;Adult Fish (22 pounds);carp_fish;false;;;;
OOT_FISHING_POND_ADULT_FISH_23LBS;Adult Fish (23 pounds);carp_fish;false;;;;
OOT_FISHING_POND_ADULT_FISH_24LBS;Adult Fish (24 pounds);carp_fish;false;;;;
OOT_FISHING_POND_ADULT_FISH_25LBS;Adult Fish (25 pounds);carp_fish;false;;;;
OOT_FISHING_POND_ADULT_FISH_4LBS;Adult Fish (4 pounds);carp_fish;false;;;;
OOT_FISHING_POND_ADULT_FISH_5LBS;Adult Fish (5 pounds);carp_fish;false;;;;
OOT_FISHING_POND_ADULT_FISH_6LBS;Adult Fish (6 pounds);carp_fish;false;;;;
OOT_FISHING_POND_ADULT_FISH_7LBS;Adult Fish (7 pounds);carp_fish;false;;;;
OOT_FISHING_POND_ADULT_FISH_8LBS;Adult Fish (8 pounds);carp_fish;false;;;;
OOT_FISHING_POND_ADULT_FISH_9LBS;Adult Fish (9 pounds);carp_fish;false;;;;
OOT_FISHING_POND_ADULT_LOACH;Adult Loach (Placeholder);carp_fish;false;;;;
OOT_FISHING_POND_ADULT_LOACH_29LBS;Adult Loach (29 pounds);carp_fish;false;;;;
OOT_FISHING_POND_ADULT_LOACH_30LBS;Adult Loach (30 pounds);carp_fish;false;;;;
OOT_FISHING_POND_ADULT_LOACH_31LBS;Adult Loach (31 pounds);carp_fish;false;;;;
OOT_FISHING_POND_ADULT_LOACH_32LBS;Adult Loach (32 pounds);carp_fish;false;;;;
OOT_FISHING_POND_ADULT_LOACH_33LBS;Adult Loach (33 pounds);carp_fish;false;;;;
OOT_FISHING_POND_ADULT_LOACH_34LBS;Adult Loach (34 pounds);carp_fish;false;;;;
OOT_FISHING_POND_ADULT_LOACH_35LBS;Adult Loach (35 pounds);carp_fish;false;;;;
OOT_FISHING_POND_ADULT_LOACH_36LBS;Adult Loach (36 pounds);carp_fish;false;;;;
OOT_FISHING_POND_CHILD_FISH;Child Fish (Placeholder);carp_fish;false;;;;
OOT_FISHING_POND_CHILD_FISH_10LBS;Child Fish (10 pounds);carp_fish;false;;;;
OOT_FISHING_POND_CHILD_FISH_11LBS;Child Fish (11 pounds);carp_fish;false;;;;
OOT_FISHING_POND_CHILD_FISH_12LBS;Child Fish (12 pounds);carp_fish;false;;;;
OOT_FISHING_POND_CHILD_FISH_13LBS;Child Fish (13 pounds);carp_fish;false;;;;
OOT_FISHING_POND_CHILD_FISH_14LBS;Child Fish (14 pounds);carp_fish;false;;;;
OOT_FISHING_POND_CHILD_FISH_2LBS;Child Fish (2 pounds);carp_fish;false;;;;
OOT_FISHING_POND_CHILD_FISH_3LBS;Child Fish (3 pounds);carp_fish;false;;;;
OOT_FISHING_POND_CHILD_FISH_4LBS;Child Fish (4 pounds);carp_fish;false;;;;
OOT_FISHING_POND_CHILD_FISH_5LBS;Child Fish (5 pounds);carp_fish;false;;;;
OOT_FISHING_POND_CHILD_FISH_6LBS;Child Fish (6 pounds);carp_fish;false;;;;
OOT_FISHING_POND_CHILD_FISH_7LBS;Child Fish (7 pounds);carp_fish;false;;;;
OOT_FISHING_POND_CHILD_FISH_8LBS;Child Fish (8 pounds);carp_fish;false;;;;
OOT_FISHING_POND_CHILD_FISH_9LBS;Child Fish (9 pounds);carp_fish;false;;;;
OOT_FISHING_POND_CHILD_LOACH;Child Loach (Placeholder);carp_fish;false;;;;
OOT_FISHING_POND_CHILD_LOACH_14LBS;Child Loach (14 pounds);carp_fish;false;;;;
OOT_FISHING_POND_CHILD_LOACH_15LBS;Child Loach (15 pounds);carp_fish;false;;;;
OOT_FISHING_POND_CHILD_LOACH_16LBS;Child Loach (16 pounds);carp_fish;false;;;;
OOT_FISHING_POND_CHILD_LOACH_17LBS;Child Loach (17 pounds);carp_fish;false;;;;
OOT_FISHING_POND_CHILD_LOACH_18LBS;Child Loach (18 pounds);carp_fish;false;;;;
OOT_FISHING_POND_CHILD_LOACH_19LBS;Child Loach (19 pounds);carp_fish;false;;;;
OOT_GERUDO_CARD;Gerudo's Membership Card;card;false;;;;
OOT_GOLD_DUST;Gold Dust;dust;true;;;;
OOT_GOLDEN_GAUNTLETS;Golden Gauntlets (OoT);golden_gauntlet;true;;;;
OOT_GORON_BRACELET;Goron's Bracelet (OoT);bracelet;true;;;;
OOT_GS_TOKEN;Gold Skulltula Token;gs_token;false;;;;
OOT_HAMMER;Megaton Hammer (OoT);hammer;true;;;;
OOT_HEART_CONTAINER;Heart Container (OoT);heart_container;true;;;;
OOT_HEART_CONTAINER2;Heart Container (OoT);heart_container;true;;;;
OOT_HEART_PIECE;Piece of Heart (OoT);heart_piece;true;;;;
OOT_HOOKSHOT;Progressive Hookshot (OoT);hookshot_oot;true;;;;
OOT_KEY_RING;Key Ring (OoT);key_ring;false;;;;
OOT_KEY_RING_BOTW;Key Ring (Well);key_ring;false;;;;
OOT_KEY_RING_FIRE;Key Ring (Fire);key_ring;false;;;;
OOT_KEY_RING_FOREST;Key Ring (Forest);key_ring;false;;;;
OOT_KEY_RING_GANON;Key Ring (Ganon);key_ring;false;;;;
OOT_KEY_RING_GF;Key Ring (Hideout);key_ring;false;;;;
OOT_KEY_RING_GTG;Key Ring (GTG);key_ring;false;;;;
OOT_KEY_RING_SHADOW;Key Ring (Shadow);key_ring;false;;;;
OOT_KEY_RING_SPIRIT;Key Ring (Spirit);key_ring;false;;;;
OOT_KEY_RING_TCG;Key Ring (Chest Game);key_ring;false;;;;
OOT_KEY_RING_WATER;Key Ring (Water);key_ring;false;;;;
OOT_LENS;Lens of Truth (OoT);lens;true;;;;
OOT_LONGSHOT;Longshot (OoT);longshot;true;;;;
OOT_MAGIC_BEAN;Magic Beans (OoT);bean;false;;;;
OOT_MAGIC_JAR_LARGE;Large Magic Jar (OoT);double_magic;true;;;;
OOT_MAGIC_JAR_SMALL;Small Magic Jar (OoT);magic;true;;;;
OOT_MAGIC_UPGRADE;Magic Upgrade (OoT);magic_upgrade;true;;;;
OOT_MAGIC_UPGRADE2;Larger Magic Upgrade (OoT);large_magic_upgrade;true;;;;
OOT_MAP;Map (OoT);map;false;;;;
OOT_MAP_BOTW;Map (Bottom of the Well);map;false;;;;
OOT_MAP_DC;Map (Dodongo's Cavern);map;false;;;;
OOT_MAP_DT;Map (Deku Tree);map;false;;;;
OOT_MAP_FIRE;Map (Fire Temple);map;false;;;;
OOT_MAP_FOREST;Map (Forest Temple);map;false;;;;
OOT_MAP_IC;Map (Ice Cavern);map;false;;;;
OOT_MAP_JJ;Map (Jabu-Jabu's Belly);map;false;;;;
OOT_MAP_SHADOW;Map (Shadow Temple);map;false;;;;
OOT_MAP_SPIRIT;Map (Spirit Temple);map;false;;;;
OOT_MAP_WATER;Map (Water Temple);map;false;;;;
OOT_MASK_BLAST;Blast Mask (OoT);blast;true;;;;
OOT_MASK_BUNNY;Bunny Hood (OoT);bunny;true;;;;
OOT_MASK_GERUDO;Gerudo Mask (OoT);gerudo;true;;;;
OOT_MASK_GORON;Goron Mask (OoT);goron;true;;;;
OOT_MASK_KEATON;Keaton Mask (OoT);keaton;true;;;;
OOT_MASK_SKULL;Skull Mask (OoT);skull;true;;;;
OOT_MASK_SPOOKY;Spooky Mask (OoT);spooky;true;;;;
OOT_MASK_STONE;Stone Mask (OoT);stone;true;;;;
OOT_MASK_TRUTH;Mask of Truth (OoT);truth;true;;;;
OOT_MASK_ZORA;Zora Mask (OoT);zora;true;;;;
OOT_MEDALLION_FIRE;Fire Medallion;fire;false;;;;
OOT_MEDALLION_FOREST;Forest Medallion;forest;false;;;;
OOT_MEDALLION_LIGHT;Light Medallion;light;false;;;;
OOT_MEDALLION_SHADOW;Shadow Medallion;shadow;false;;;;
OOT_MEDALLION_SPIRIT;Spirit Medallion;spirit;false;;;;
OOT_MEDALLION_WATER;Water Medallion;water;false;;;;
OOT_MILK;Lon Lon Milk (OoT);milk;true;;;;
OOT_NUT_UPGRADE;Deku Nut Upgrade (OoT);nut_upgrade_1;true;;;;
OOT_NUT_UPGRADE2;Second Deku Nut Upgrade (OoT);nut_upgrade_2;true;;;;
OOT_NUTS_10;10 Deku Nuts (OoT);nut;true;;;;
OOT_NUTS_5;5 Deku Nuts (OoT);nut;true;;;;
OOT_NUTS_5_ALT;5 Deku Nuts (OoT);nut;true;;;;
OOT_OCARINA;Progressive Ocarina (OoT);ocarina;true;;;;
OOT_OCARINA_FAIRY;Fairy Ocarina (OoT);fairy_ocarina;true;;;;
OOT_OCARINA_TIME;Ocarina of Time (OoT);ocarina;true;;;;
OOT_ODD_MUSHROOM;Odd Mushroom;mushroom;true;;;;
OOT_ODD_POTION;Odd Potion;potion;true;;;;
OOT_PLATINUM_TOKEN;Platinum Token (OoT);platinum_token;true;;;;
OOT_POACHER_SAW;Poacher's Saw;saw;false;;;;
OOT_POCKET_CUCCO;Pocket Cucco;cucco;false;;;;
OOT_POCKET_EGG;Pocket Egg;egg;false;;;;
OOT_POE;Poe (OoT);bottled_poe;true;;;;
OOT_POTION_BLUE;Blue Potion (OoT);blue_potion;true;;;;
OOT_POTION_GREEN;Green Potion (OoT);green_potion;true;;;;
OOT_POTION_RED;Red Potion (OoT);red_potion;true;;;;
OOT_POUCH_SILVER_BOTW;Silver Rupee Pouch (Bottom of the Well);silver_pouch;false;;;;
OOT_POUCH_SILVER_DC;Silver Rupee Pouch (Dodongo's Cavern);silver_pouch;false;;;;
OOT_POUCH_SILVER_GANON_FIRE;Silver Rupee Pouch (Ganon's Castle - Fire Trial);silver_pouch;false;;;;
OOT_POUCH_SILVER_GANON_FOREST;Silver Rupee Pouch (Ganon's Castle - Forest Trial);silver_pouch;false;;;;
OOT_POUCH_SILVER_GANON_LIGHT;Silver Rupee Pouch (Ganon's Castle - Light Trial);silver_pouch;false;;;;
OOT_POUCH_SILVER_GANON_SHADOW;Silver Rupee Pouch (Ganon's Castle - Shadow Trial);silver_pouch;false;;;;
OOT_POUCH_SILVER_GANON_SPIRIT;Silver Rupee Pouch (Ganon's Castle - Spirit Trial);silver_pouch;false;;;;
OOT_POUCH_SILVER_GANON_WATER;Silver Rupee Pouch (Ganon's Castle - Water Trial);silver_pouch;false;;;;
OOT_POUCH_SILVER_GTG_LAVA;Silver Rupee Pouch (Gerudo Training Ground - Lava);silver_pouch;false;;;;
OOT_POUCH_SILVER_GTG_SLOPES;Silver Rupee Pouch (Gerudo Training Ground - Slopes);silver_pouch;false;;;;
OOT_POUCH_SILVER_GTG_WATER;Silver Rupee Pouch (Gerudo Training Ground - Water);silver_pouch;false;;;;
OOT_POUCH_SILVER_IC_BLOCK;Silver Rupee Pouch (Ice Cavern - Block);silver_pouch;false;;;;
OOT_POUCH_SILVER_IC_SCYTHE;Silver Rupee Pouch (Ice Cavern - Scythe);silver_pouch;false;;;;
OOT_POUCH_SILVER_SHADOW_BLADES;Silver Rupee Pouch (Shadow Temple - Invisible Blades);silver_pouch;false;;;;
OOT_POUCH_SILVER_SHADOW_PIT;Silver Rupee Pouch (Shadow Temple - Large Pits);silver_pouch;false;;;;
OOT_POUCH_SILVER_SHADOW_SCYTHE;Silver Rupee Pouch (Shadow Temple - Scythe);silver_pouch;false;;;;
OOT_POUCH_SILVER_SHADOW_SPIKES;Silver Rupee Pouch (Shadow Temple - Spikes);silver_pouch;false;;;;
OOT_POUCH_SILVER_SPIRIT_ADULT;Silver Rupee Pouch (Spirit Temple - Adult);silver_pouch;false;;;;
OOT_POUCH_SILVER_SPIRIT_BOULDERS;Silver Rupee Pouch (Spirit Temple - Boulders);silver_pouch;false;;;;
OOT_POUCH_SILVER_SPIRIT_CHILD;Silver Rupee Pouch (Spirit Temple - Child);silver_pouch;false;;;;
OOT_POUCH_SILVER_SPIRIT_LOBBY;Silver Rupee Pouch (Spirit Temple - Lobby);silver_pouch;false;;;;
OOT_POUCH_SILVER_SPIRIT_SUN;Silver Rupee Pouch (Spirit Temple - Sun Block);silver_pouch;false;;;;
OOT_PRESCRIPTION;Prescription;prescription;false;;;;
OOT_PROGRESSIVE_SHIELD_DEKU;Progressive Deku Shield (OoT);deku_shield;true;;;;
OOT_PROGRESSIVE_SHIELD_HYLIAN;Progressive Hylian Shield;hylian_shield;true;;;;
OOT_QUIVER2;Big Quiver (OoT);big_quiver;true;;;;
OOT_QUIVER3;Biggest Quiver (OoT);biggest_quiver;true;;;;
OOT_RECOVERY_HEART;Recovery Heart (OoT);heart;true;;;;
OOT_RUPEE_BLUE;Blue Rupee (OoT);blue_rupee;true;;;;
OOT_RUPEE_GREEN;Green Rupee (OoT);rupee;true;;;;
OOT_RUPEE_HUGE;Gold Rupee (OoT);gold_rupee;true;;;;
OOT_RUPEE_MAGICAL;Magical Silver Rupee;magical_rupee;false;;;;
OOT_RUPEE_PURPLE;Purple Rupee (OoT);purple_rupee;true;;;;
OOT_RUPEE_RAINBOW;Rainbow Rupee (OoT);rainbow_rupee;true;;;;
OOT_RUPEE_RED;Red Rupee (OoT);red_rupee;true;;;;
OOT_RUPEE_SILVER_BOTW;Silver Rupee (Bottom of the Well);sr;false;;;;
OOT_RUPEE_SILVER_DC;Silver Rupee (Dodongo's Cavern);sr;false;;;;
OOT_RUPEE_SILVER_GANON_FIRE;Silver Rupee (Ganon's Castle - Fire Trial);sr;false;;;;
OOT_RUPEE_SILVER_GANON_FOREST;Silver Rupee (Ganon's Castle - Forest Trial);sr;false;;;;
OOT_RUPEE_SILVER_GANON_LIGHT;Silver Rupee (Ganon's Castle - Light Trial);sr;false;;;;
OOT_RUPEE_SILVER_GANON_SHADOW;Silver Rupee (Ganon's Castle - Shadow Trial);sr;false;;;;
OOT_RUPEE_SILVER_GANON_SPIRIT;Silver Rupee (Ganon's Castle - Spirit Trial);sr;false;;;;
OOT_RUPEE_SILVER_GANON_WATER;Silver Rupee (Ganon's Castle - Water Trial);sr;false;;;;
OOT_RUPEE_SILVER_GTG_LAVA;Silver Rupee (Gerudo Training Ground - Lava);sr;false;;;;
OOT_RUPEE_SILVER_GTG_SLOPES;Silver Rupee (Gerudo Training Ground - Slopes);sr;false;;;;
OOT_RUPEE_SILVER_GTG_WATER;Silver Rupee (Gerudo Training Ground - Water);sr;false;;;;
OOT_RUPEE_SILVER_IC_BLOCK;Silver Rupee (Ice Cavern - Block);sr;false;;;;
OOT_RUPEE_SILVER_IC_SCYTHE;Silver Rupee (Ice Cavern - Scythe);sr;false;;;;
OOT_RUPEE_SILVER_SHADOW_BLADES;Silver Rupee (Shadow Temple - Invisible Blades);sr;false;;;;
OOT_RUPEE_SILVER_SHADOW_PIT;Silver Rupee (Shadow Temple - Large Pits);sr;false;;;;
OOT_RUPEE_SILVER_SHADOW_SCYTHE;Silver Rupee (Shadow Temple - Scythe);sr;false;;;;
OOT_RUPEE_SILVER_SHADOW_SPIKES;Silver Rupee (Shadow Temple - Spikes);sr;false;;;;
OOT_RUPEE_SILVER_SPIRIT_ADULT;Silver Rupee (Spirit Temple - Adult);sr;false;;;;
OOT_RUPEE_SILVER_SPIRIT_BOULDERS;Silver Rupee (Spirit Temple - Boulders);sr;false;;;;
OOT_RUPEE_SILVER_SPIRIT_CHILD;Silver Rupee (Spirit Temple - Child);sr;false;;;;
OOT_RUPEE_SILVER_SPIRIT_LOBBY;Silver Rupee (Spirit Temple - Lobby);sr;false;;;;
OOT_RUPEE_SILVER_SPIRIT_SUN;Silver Rupee (Spirit Temple - Sun Block);sr;false;;;;
OOT_SCALE;Progressive Scale (Oot);bronze_scale;true;;;;
OOT_SCALE_BRONZE;Bronze Scale (OoT);bronze_scale;true;;;;
OOT_SCALE_GOLDEN;Golden Scale (OoT);golden;true;;;;
OOT_SCALE_SILVER;Silver Scale (OoT);silver;true;;;;
OOT_SEAHORSE2;Seahorse;seahorse;false;;;;
OOT_SHIELD;Progressive Shield (OoT);deku_shield;true;;;;
OOT_SHIELD_DEKU;Deku Shield (OoT);deku_shield;true;;;;
OOT_SHIELD_HYLIAN;Hylian Shield;hylian_shield;true;;;;
OOT_SHIELD_MIRROR;Mirror Shield (OoT);mirror_oot;true;;;;
OOT_SILVER_GAUNTLETS;Silver Gauntlets (OoT);silver_gauntlet;true;;;;
OOT_SKELETON_KEY;Skeleton Key (OoT);skeleton_key;true;;;;
OOT_SLINGSHOT;Fairy Slingshot (OoT);slingshot;true;;;;
OOT_SMALL_KEY;Small Key (OoT);small_key;false;;;;
OOT_SMALL_KEY_BOTW;Small Key (Bottom of the Well);small_key;false;;;;
OOT_SMALL_KEY_FIRE;Small Key (Fire Temple);small_key;false;;;;
OOT_SMALL_KEY_FOREST;Small Key (Forest Temple);small_key;false;;;;
OOT_SMALL_KEY_GANON;Small Key (Ganon's Castle);small_key;false;;;;
OOT_SMALL_KEY_GF;Small Key (Gerudo's Fortress);small_key;false;;;;
OOT_SMALL_KEY_GTG;Small Key (Gerudo's Training Ground);small_key;false;;;;
OOT_SMALL_KEY_SHADOW;Small Key (Shadow Temple);small_key;false;;;;
OOT_SMALL_KEY_SPIRIT;Small Key (Spirit Temple);small_key;false;;;;
OOT_SMALL_KEY_TCG;Small Key (Chest Game);small_key;false;;;;
OOT_SMALL_KEY_WATER;Small Key (Water Temple);small_key;false;;;;
OOT_SONG_EMPTINESS;Elegy of Emptiness (OoT);song_orange;true;;;;
OOT_SONG_EPONA;Epona's Song (OoT);song;true;;;;
OOT_SONG_NOTE_EMPTINESS;Note from Elegy of Emptiness (OoT);song_orange;true;;;;
OOT_SONG_NOTE_EPONA;Note from Epona's Song (OoT);song;true;;;;
OOT_SONG_NOTE_SARIA;Note from Saria's Song (OoT);song;true;;;;
OOT_SONG_NOTE_STORMS;Note from Song of Storms (OoT);song;true;;;;
OOT_SONG_NOTE_SUN;Note from Sun's Song (OoT);song;true;;;;
OOT_SONG_NOTE_TIME;Note from Song of Time (OoT);song;true;;;;
OOT_SONG_NOTE_TP_FIRE;Note from Bolero of Fire (OoT);song_red;true;;;;
OOT_SONG_NOTE_TP_FOREST;Note from Minuet of Forest (OoT);song_green;true;;;;
OOT_SONG_NOTE_TP_LIGHT;Note from Prelude of Light (OoT);song_yellow;true;;;;
OOT_SONG_NOTE_TP_SHADOW;Note from Nocturne of Shadow (OoT);song_purple;true;;;;
OOT_SONG_NOTE_TP_SPIRIT;Note from Requiem of Spirit (OoT);song_orange;true;;;;
OOT_SONG_NOTE_TP_WATER;Note from Serenade of Water (OoT);song_blue;true;;;;
OOT_SONG_NOTE_ZELDA;Note from Zelda's Lullaby (OoT);song;true;;;;
OOT_SONG_SARIA;Saria's Song (OoT);song;true;;;;
OOT_SONG_STORMS;Song of Storms (OoT);song;true;;;;
OOT_SONG_SUN;Sun's Song (OoT);song;true;;;;
OOT_SONG_TIME;Song of Time (OoT);song;true;;;;
OOT_SONG_TP_FIRE;Bolero of Fire (OoT);song_red;true;;;;
OOT_SONG_TP_FOREST;Minuet of Forest (OoT);song_green;true;;;;
