Code_Name;Game;ID;Type;Scene;;;;;;;;;;;
OOT_KOKIRI_FOREST_FROM_MIDO; oot; 0x443; indoors-exit;NONE; areas;OOT Mido's House; OOT Kokiri Forest; reverse; OOT_HOUSE_MIDO;;;;;;
OOT_KOKIRI_FOREST_FROM_SARIA; oot; 0x447; indoors-exit;NONE; areas;OOT Saria's House; OOT Kokiri Forest; reverse; OOT_HOUSE_SARIA;;;;;;
OOT_KOKIRI_FOREST_FROM_TWINS; oot; 0x33c; indoors-exit;NONE; areas;OOT House of Twins; OOT Kokiri Forest; reverse; OOT_HOUSE_TWINS;;;;;;
OOT_KOKIRI_FOREST_FROM_KNOW_IT_ALL; oot; 0x26a; indoors-exit;NONE; areas;OOT Know It All House; OOT Kokiri Forest; reverse; OOT_HOUSE_KNOW_IT_ALL;;;;;;
OOT_KOKIRI_FOREST_FROM_SHOP; oot; 0x266; indoors-exit;NONE; areas;OOT Kokiri Shop; OOT Kokiri Forest; reverse; OOT_KOKIRI_SHOP;;;;;;
OOT_MARKET_ENTRANCE_FROM_POTS; oot; 0x26e; indoors-exit;NONE; areas;OOT Market Pot House; OOT Market Entryway; reverse; OOT_HOUSE_POTS;;;;;;
OOT_LAKE_HYLIA_FROM_LABORATORY; oot; 0x3cc; indoors-exit;NONE; areas;OOT Laboratory; OOT Lake Hylia; reverse; OOT_LABORATORY;;;;;;
OOT_LAKE_HYLIA_FROM_FISHING_POND; oot; 0x309; indoors-exit;NONE; areas;OOT Fishing Pond; OOT Lake Hylia Near Pond; reverse; OOT_FISHING_POND;;;;;;
OOT_GERUDO_VALLEY_FROM_TENT; oot; 0x3d0; indoors-exit;NONE; areas;OOT Gerudo Valley Tent; OOT Gerudo Valley After Bridge; reverse; OOT_VALLEY_TENT;;;;;;
OOT_KAKARIKO_FROM_CARPENTER; oot; 0x349; indoors-exit;NONE; areas;OOT Kakariko Carpenter House; OOT Kakariko; reverse; OOT_HOUSE_CARPENTER;;;;;;
OOT_KAKARIKO_FROM_SKULLTULA; oot; 0x4ee; indoors-exit;NONE; areas;OOT Skulltula House; OOT Kakariko; reverse; OOT_HOUSE_SKULLTULA;;;;;;
OOT_KAKARIKO_FROM_IMPA; oot; 0x345; indoors-exit;OOT_HOUSE_IMPA; areas;OOT Impa House Front; OOT Kakariko; reverse; OOT_HOUSE_IMPA;;;;;;
OOT_KAKARIKO_FROM_IMPA_BACK; oot; 0x5dc; indoors-exit;OOT_HOUSE_IMPA; areas;OOT Impa House Back; OOT Kakariko Balcony; reverse; OOT_HOUSE_IMPA_BACK;;;;;;
OOT_KAKARIKO_FROM_GRANNY; oot; 0x34d; indoors-exit;NONE; areas;OOT Kakariko Granny Shop; OOT Kakariko Back; reverse; OOT_SHOP_GRANNY;;;;;;
OOT_GRAVEYARD_FROM_DAMPE; oot; 0x355; indoors-exit;NONE; areas;OOT Dampe House; OOT Graveyard; reverse; OOT_HOUSE_DAMPE;;;;;;
OOT_GORON_CITY_FROM_SHOP; oot; 0x3fc; indoors-exit;NONE; areas;OOT Goron Shop; OOT Goron City; reverse; OOT_SHOP_GORON;;;;;;
OOT_ZORA_DOMAIN_FROM_SHOP; oot; 0x3c4; indoors-exit;NONE; areas;OOT Zora Shop; OOT Zora Domain; reverse; OOT_SHOP_ZORA;;;;;;
OOT_LON_LON_RANCH_FROM_HOUSE; oot; 0x378; indoors-exit;NONE; areas;OOT Lon Lon Ranch House; OOT Lon Lon Ranch; reverse; OOT_HOUSE_LON_LON;;;;;;
OOT_LON_LON_RANCH_FROM_STABLES; oot; 0x42f; indoors-exit;NONE; areas;OOT Lon Lon Ranch Stables; OOT Lon Lon Ranch; reverse; OOT_STABLES;;;;;;
OOT_LON_LON_RANCH_FROM_SILO; oot; 0x5d4; indoors-exit;NONE; areas;OOT Lon Lon Ranch Silo; OOT Lon Lon Ranch; reverse; OOT_SILO;;;;;;
OOT_KOKIRI_FOREST_FROM_LINK; oot; 0x211; indoors-exit;NONE; areas;OOT Link's House; OOT Kokiri Forest; reverse; OOT_HOUSE_LINK;;;;;;
OOT_TEMPLE_OF_TIME_ENTRYWAY_FROM_TEMPLE; oot; 0x472; indoors-exit;OOT_TEMPLE_OF_TIME; areas;OOT Temple of Time; OOT Temple of Time Entryway; reverse; OOT_TEMPLE_OF_TIME;;;;;;
OOT_KAKARIKO_FROM_WINDMILL; oot; 0x351; indoors-exit;OOT_DAMPE_WINDMILL; areas;OOT Windmill; OOT Kakariko; reverse; OOT_WINDMILL;;;;;;
OOT_KAKARIKO_FROM_SHOP_POTION; oot; 0x44b; indoors-exit;OOT_KAKARIKO_POTION_SHOP; areas;OOT Kakariko Potion Shop; OOT Kakariko; reverse; OOT_SHOP_POTION_KAKARIKO;;;;;;
OOT_KAKARIKO_FROM_SHOP_POTION_BACK; oot; 0x4ff; indoors-exit;OOT_KAKARIKO_POTION_SHOP; areas;OOT Kakariko Potion Shop Back; OOT Kakariko Back; reverse; OOT_SHOP_POTION_KAKARIKO_BACK;;;;;;
OOT_DEATH_MOUNTAIN_FROM_FAIRY; oot; 0x45b; indoors-exit;NONE; areas;OOT Fairy Fountain Magic; OOT Death Mountain Summit; reverse; OOT_FAIRY_MAGIC;;;;;;
OOT_DEATH_CRATER_FROM_FAIRY; oot; 0x482; indoors-exit;NONE; areas;OOT Fairy Fountain Double Magic; OOT Death Mountain Crater Bottom; reverse; OOT_FAIRY_MAGIC2;;;;;;
OOT_HYRULE_CASTLE_FROM_FAIRY; oot; 0x340; indoors-exit;NONE; areas;OOT Fairy Fountain Din; OOT Near Fairy Fountain Din; reverse; OOT_FAIRY_DIN;;;;;;
OOT_ZORA_FOUNTAIN_FROM_FAIRY; oot; 0x394; indoors-exit;NONE; areas;OOT Fairy Fountain Farore; OOT Zora Fountain; reverse; OOT_FAIRY_FARORE;;;;;;
OOT_DESERT_COLOSSUS_FROM_FAIRY; oot; 0x57c; indoors-exit;NONE; areas;OOT Fairy Fountain Nayru; OOT Desert Colossus; reverse; OOT_FAIRY_NAYRU;;;;;;
OOT_MARKET_FROM_BOWLING; oot; 0x3bc; indoors-exit;NONE; areas;OOT Bombchu Bowling; OOT Market; reverse; OOT_BOMBCHU_BOWLING;;;;;;
OOT_MARKET_FROM_TREASURE_GAME; oot; 0x1d5; indoors-exit;NONE; areas;OOT Treasure Chest Game; OOT Market; reverse; OOT_TREASURE_GAME;;;;;;
OOT_MARKET_FROM_BOMBCHU_SHOP; oot; 0x3c0; indoors-exit;NONE; areas;OOT Market Bombchu Shop; OOT Back Alley; reverse; OOT_BOMBCHU_SHOP;;;;;;
OOT_MARKET_FROM_ALLEY_HOUSE; oot; 0x067; indoors-exit;NONE; areas;OOT Market Back Alley East Home; OOT Back Alley; reverse; OOT_ALLEY_HOUSE;;;;;;
OOT_MARKET_FROM_BAZAAR; oot; 0x3b8; indoors-exit;NONE; areas;OOT Market Bazaar; OOT Market; reverse; OOT_MARKET_BAZAAR;;;;;;
OOT_MARKET_FROM_POTION; oot; 0x2a2; indoors-exit;NONE; areas;OOT Market Potion Shop; OOT Market; reverse; OOT_MARKET_POTION;;;;;;
OOT_MARKET_FROM_ARCHERY; oot; 0x1cd; indoors-exit;NONE; areas;OOT Shooting Gallery Child; OOT Market; reverse; OOT_CHILD_ARCHERY;;;;;;
OOT_KAKARIKO_FROM_BAZAAR; oot; 0x201; indoors-exit;NONE; areas;OOT Kakariko Bazaar; OOT Kakariko; reverse; OOT_KAKARIKO_BAZAAR;;;;;;
OOT_KAKARIKO_FROM_ARCHERY; oot; 0x463; indoors-exit;NONE; areas;OOT Shooting Gallery Adult; OOT Kakariko; reverse; OOT_ADULT_ARCHERY;;;;;;
OOT_OUTSIDE_GANON_FROM_FAIRY; oot; 0xf00; indoors-exit;NONE; areas;OOT Fairy Fountain Defense; OOT Near Fairy Fountain Defense; reverse; OOT_FAIRY_DEFENSE;;;;;;
OOT_WARP_SONG_MEADOW; oot; 0x600; one-way-song;NONE; areas;OOT SONG_TP_FOREST; OOT Sacred Meadow; debug;WARP; Minuet;;;;;
OOT_WARP_SONG_CRATER; oot; 0x4f6; one-way-song;NONE; areas;OOT SONG_TP_FIRE; OOT Death Mountain Crater Warp; debug;WARP; Bolero;;;;;
OOT_WARP_SONG_LAKE; oot; 0x604; one-way-song;NONE; areas;OOT SONG_TP_WATER; OOT Lake Hylia; debug;WARP; Serenade;;;;;
OOT_WARP_SONG_GRAVE; oot; 0x568; one-way-song;NONE; areas;OOT SONG_TP_SHADOW; OOT Graveyard Upper; debug;WARP; Nocturne;;;;;
OOT_WARP_SONG_DESERT; oot; 0x1f1; one-way-song;NONE; areas;OOT SONG_TP_SPIRIT; OOT Desert Colossus; debug;WARP; Requiem;;;;;
OOT_WARP_SONG_TEMPLE; oot; 0x5f4; one-way-song;NONE; areas;OOT SONG_TP_LIGHT; OOT Temple of Time; debug;WARP; Prelude;;;;;
OOT_VILLAGE_OWL; oot; 0x554; one-way-owl;OOT_DEATH_MOUNTAIN_TRAIL; areas;OOT Death Mountain Summit; OOT Kakariko Rooftop;;;;;;;;
OOT_FIELD_OWL; oot; 0x27e; one-way-owl;OOT_LAKE_HYLIA; areas;OOT Lake Hylia; OOT Hyrule Field Drawbridge;;;;;;;;
OOT_WALLMASTER_FOREST_CORRIDOR_WEST; oot; 0xf10; wallmaster;TEMPLE_FOREST;;;;;;;OOT Forest Temple Wallmaster West;;;;
OOT_WALLMASTER_FOREST_CORRIDOR_EAST; oot; 0xf11; wallmaster;TEMPLE_FOREST;;;;;;;OOT Forest Temple Wallmaster East;;;;
OOT_WALLMASTER_SHADOW; oot; 0xf12; wallmaster;TEMPLE_SHADOW;;;;;;;OOT Shadow Temple Wallmaster;;;;
OOT_WALLMASTER_SPIRIT_CHILD_RUPEES; oot; 0xf13; wallmaster;TEMPLE_SPIRIT;;;;;;;OOT Spirit Temple Wallmaster Child Rupees;;;;
OOT_WALLMASTER_SPIRIT_ADULT_CLIMB; oot; 0xf14; wallmaster;TEMPLE_SPIRIT;;;;;;;OOT Spirit Temple Wallmaster Adult Climb;;;;
OOT_WALLMASTER_SPIRIT_CHILD_SUN; oot; 0xf15; wallmaster;TEMPLE_SPIRIT;;;;;;;OOT Spirit Temple Wallmaster Child Sun;;;;
OOT_WALLMASTER_SPIRIT_STATUE; oot; 0xf16; wallmaster;TEMPLE_SPIRIT;;;;;;;OOT Spirit Temple Wallmaster Statue;;;;
OOT_WALLMASTER_BOTW_MAIN; oot; 0xf17; wallmaster;BOTTOM_OF_THE_WELL;;;;;;;OOT Bottom of the Well Wallmaster Main;;;;
OOT_WALLMASTER_BOTW_BASEMENT; oot; 0xf18; wallmaster;BOTTOM_OF_THE_WELL;;;;;;;OOT Bottom of the Well Wallmaster Basement;;;;
OOT_WALLMASTER_BOTW_PIT; oot; 0xf19; wallmaster;BOTTOM_OF_THE_WELL;;;;;;;OOT Bottom of the Well Wallmaster Pit;;;;
OOT_WALLMASTER_GTG; oot; 0xf1a; wallmaster;GERUDO_TRAINING_GROUND;;;;;;;OOT Gerudo Training Grounds Wallmaster;;;;
OOT_WALLMASTER_GANON_SPIRIT; oot; 0xf1b; wallmaster;INSIDE_GANON_CASTLE;;;;;;;OOT Ganon Castle Spirit Wallmaster;;;;
OOT_WALLMASTER_GANON_LIGHT; oot; 0xf1c; wallmaster;INSIDE_GANON_CASTLE;;;;;;;OOT Ganon Castle Light Wallmaster;;;;
OOT_GROTTO_GENERIC_KOKIRI_FOREST; oot; 0x1000; grotto;OOT_GROTTO_KOKIRI_FOREST_STORMS;;;OOT Kokiri Forest; reverse; OOT_GROTTO_EXIT_GENERIC_KOKIRI_FOREST;  debug;OOT_GROTTO; Kokiri Forest Generic;;;
OOT_GROTTO_GENERIC_LOST_WOODS; oot; 0x1001; grotto;OOT_GROTTO_LOST_WOODS_GENERIC;;;OOT Lost Woods; reverse; OOT_GROTTO_EXIT_GENERIC_LOST_WOODS;  debug;OOT_GROTTO; Lost Woods Generic;;;
OOT_GROTTO_GENERIC_KAKARIKO; oot; 0x1002; grotto;OOT_GROTTO_KAKARIKO_OPEN;;;OOT Kakariko Back; reverse; OOT_GROTTO_EXIT_GENERIC_KAKARIKO;  debug;OOT_GROTTO; Kakariko Generic;;;
OOT_GROTTO_GENERIC_DMT; oot; 0x1003; grotto;OOT_GROTTO_DEATH_TRIAL_STORMS;;;OOT Death Mountain; reverse; OOT_GROTTO_EXIT_GENERIC_DMT;  debug;OOT_GROTTO; DMT Generic;;;
OOT_GROTTO_GENERIC_DMC; oot; 0x1004; grotto;OOT_GROTTO_DEATH_CRATER_GENERIC;;;OOT Death Mountain Crater Top; reverse; OOT_GROTTO_EXIT_GENERIC_DMC;  debug;OOT_GROTTO; DMC Generic;;;
OOT_GROTTO_GENERIC_RIVER; oot; 0x1005; grotto;OOT_GROTTO_ZORA_RIVER_GENERIC;;;OOT Zora River Upper; reverse; OOT_GROTTO_EXIT_GENERIC_RIVER;  debug;OOT_GROTTO; River Generic;;;
OOT_GROTTO_GENERIC_HF_SOUTHEAST; oot; 0x1006; grotto;OOT_GROTTO_HYRULE_SE;;;OOT Hyrule Field; reverse; OOT_GROTTO_EXIT_GENERIC_HF_SOUTHEAST;  debug;OOT_GROTTO; HF Southeast Generic;;;
OOT_GROTTO_GENERIC_HF_OPEN; oot; 0x1007; grotto;OOT_GROTTO_HYRULE_OPEN;;;OOT Hyrule Field; reverse; OOT_GROTTO_EXIT_GENERIC_HF_OPEN;  debug;OOT_GROTTO; HF Open Generic;;;
OOT_GROTTO_GENERIC_HF_MARKET; oot; 0x1008; grotto;OOT_GROTTO_HYRULE_MARKET;;;OOT Hyrule Field; reverse; OOT_GROTTO_EXIT_GENERIC_HF_MARKET;  debug;OOT_GROTTO; HF Market Generic;;;
OOT_GROTTO_FAIRY_SFM; oot; 0x1009; grotto;OOT_FAIRY_SACRED_MEADOW;;;OOT Sacred Meadow; reverse; OOT_GROTTO_EXIT_FAIRY_SFM;  debug;OOT_GROTTO; Meadow Fairy;;;
OOT_GROTTO_FAIRY_HF; oot; 0x100a; grotto;OOT_FAIRY_HYRULE;;;OOT Hyrule Field; reverse; OOT_GROTTO_EXIT_FAIRY_HF;  debug;OOT_GROTTO; Hyrule Field Fairy;;;
OOT_GROTTO_FAIRY_RIVER; oot; 0x100b; grotto;OOT_FAIRY_ZORA_RIVER;;;OOT Zora River Upper; reverse; OOT_GROTTO_EXIT_FAIRY_RIVER;  debug;OOT_GROTTO; River Fairy;;;
OOT_GROTTO_FAIRY_DOMAIN; oot; 0x100c; grotto;OOT_FAIRY_ZORA_DOMAIN;;;OOT Zora Domain; reverse; OOT_GROTTO_EXIT_FAIRY_DOMAIN;  debug;OOT_GROTTO; Domain Fairy;;;
OOT_GROTTO_FAIRY_FORTRESS; oot; 0x100d; grotto;OOT_FAIRY_GERUDO_FORTRESS;;;OOT Gerudo Fortress Exterior; reverse; OOT_GROTTO_EXIT_FAIRY_FORTRESS;  debug;OOT_GROTTO; Fortress Fairy;;;
OOT_GROTTO_SCRUBS2_SFM; oot; 0x100e; grotto;OOT_GROTTO_SACRED_MEADOW_STORMS;;;OOT Sacred Meadow; reverse; OOT_GROTTO_EXIT_SCRUBS2_SFM;  debug;OOT_GROTTO; Meadow Scrubs;;;
OOT_GROTTO_SCRUBS2_RIVER; oot; 0x100f; grotto;OOT_GROTTO_ZORA_RIVER_STORMS;;;OOT Zora River; reverse; OOT_GROTTO_EXIT_SCRUBS2_RIVER;  debug;OOT_GROTTO; River Scrubs;;;
OOT_GROTTO_SCRUBS2_VALLEY; oot; 0x1010; grotto;OOT_GROTTO_VALLEY_STORMS;;;OOT Gerudo Valley After Bridge; reverse; OOT_GROTTO_EXIT_SCRUBS2_VALLEY;  debug;OOT_GROTTO; Valley Scrubs;;;
OOT_GROTTO_SCRUBS2_COLOSSUS; oot; 0x1011; grotto;OOT_GROTTO_DESERT_SCRUBS;;;OOT Desert Colossus; reverse; OOT_GROTTO_EXIT_SCRUBS2_COLOSSUS;  debug;OOT_GROTTO; Colossus Scrubs;;;
OOT_GROTTO_SCRUBS3_RANCH; oot; 0x1012; grotto;OOT_GROTTO_LON_LON_SCRUBS;;;OOT Lon Lon Ranch; reverse; OOT_GROTTO_EXIT_SCRUBS3_RANCH;  debug;OOT_GROTTO; Ranch Scrubs;;;
OOT_GROTTO_SCRUBS3_GORON_CITY; oot; 0x1013; grotto;OOT_GROTTO_GORON_CITY_SCRUBS;;;OOT Goron City; reverse; OOT_GROTTO_EXIT_SCRUBS3_GORON_CITY;  debug;OOT_GROTTO; Goron City Scrubs;;;
OOT_GROTTO_SCRUBS3_DMC; oot; 0x1014; grotto;OOT_GROTTO_DEATH_CRATER_SCRUBS;;;OOT Death Mountain Crater Bottom; reverse; OOT_GROTTO_EXIT_SCRUBS3_DMC;  debug;OOT_GROTTO; DMC Scrubs;;;
OOT_GROTTO_SCRUBS3_LAKE; oot; 0x1015; grotto;OOT_GROTTO_LAKE_HYLIA_SCRUBS;;;OOT Lake Hylia; reverse; OOT_GROTTO_EXIT_SCRUBS3_LAKE;  debug;OOT_GROTTO; Lake Scrubs;;;
OOT_GROTTO_SCRUB_UPGRADE; oot; 0x5b0; grotto;OOT_GROTTO_LOST_WOODS_SCRUB_UPGRADE;;;OOT Lost Woods Deep; reverse; OOT_GROTTO_EXIT_SCRUB_UPGRADE;  debug;OOT_GROTTO; Scrub Upgrade;;;
OOT_GROTTO_SCRUB_HEART_PIECE; oot; 0x59c; grotto;OOT_GROTTO_HYRULE_SCRUBS;;;OOT Hyrule Field; reverse; OOT_GROTTO_EXIT_SCRUB_HEART_PIECE;  debug;OOT_GROTTO; Scrub Heart Piece;;;
OOT_GROTTO_DEKU_THEATER; oot; 0x5c4; grotto;OOT_GROTTO_LOST_WOODS_THEATER;;;OOT Lost Woods Deep; reverse; OOT_GROTTO_EXIT_DEKU_THEATER;  debug;OOT_GROTTO; Deku Theater;;;
OOT_GROTTO_WOLFOS; oot; 0x5b4; grotto;OOT_GROTTO_SACRED_MEADOW_WOLFOS;;;OOT Sacred Meadow Entryway; reverse; OOT_GROTTO_EXIT_WOLFOS;  debug;OOT_GROTTO; Wolfos;;;
OOT_GROTTO_TEKTITE; oot; 0x5c0; grotto;OOT_GROTTO_HYRULE_TEKTITE;;;OOT Hyrule Field; reverse; OOT_GROTTO_EXIT_TEKTITE;  debug;OOT_GROTTO; Tektite;;;
OOT_GROTTO_FIELD_COW; oot; 0x5a8; grotto;OOT_GROTTO_HYRULE_GERUDO;;;OOT Hyrule Field; reverse; OOT_GROTTO_EXIT_FIELD_COW;  debug;OOT_GROTTO; Field Cow;;;
OOT_GROTTO_FIELD_TREE; oot; 0x598; grotto;OOT_GROTTO_HYRULE_KAKARIKO;;;OOT Hyrule Field; reverse; OOT_GROTTO_EXIT_FIELD_TREE;  debug;OOT_GROTTO; Field Tree;;;
OOT_GROTTO_TRAIL_COW; oot; 0x5fc; grotto;OOT_GROTTO_DEATH_TRIAL_COW;;;OOT Death Mountain; reverse; OOT_GROTTO_EXIT_TRAIL_COW;  debug;OOT_GROTTO; Trail Cow;;;
OOT_GROTTO_CASTLE; oot; 0x5b8; grotto;OOT_GROTTO_CASTLE_STORMS;;;OOT Hyrule Castle Near Grotto; reverse; OOT_GROTTO_EXIT_CASTLE;  debug;OOT_GROTTO; Castle;;;
OOT_GROTTO_REDEAD; oot; 0x5a0; grotto;OOT_GROTTO_KAKARIKO_REDEAD;;;OOT Kakariko; reverse; OOT_GROTTO_EXIT_REDEAD;  debug;OOT_GROTTO; Redead;;;
OOT_GROTTO_OCTOROK; oot; 0x5ac; grotto;OOT_GROTTO_VALLEY_OCTOROK;;;OOT Octorok Grotto Ledge; reverse; OOT_GROTTO_EXIT_OCTOROK;  debug;OOT_GROTTO; Octorok;;;
OOT_GRAVE_SHIELD; oot; 0x04b; grave;TOMB_REDEAD;;;OOT Graveyard; reverse; OOT_GRAVE_EXIT_SHIELD; debug;OOT_GROTTO; Shield Grave;;;
OOT_GRAVE_REDEAD; oot; 0x31c; grave;TOMB_FAIRY;;;OOT Graveyard; reverse; OOT_GRAVE_EXIT_REDEAD; debug;OOT_GROTTO; ReDead Grave;;;
OOT_GRAVE_ROYAL; oot; 0x02d; grave;TOMB_ROYAL;;;OOT Graveyard; reverse; OOT_GRAVE_EXIT_ROYAL; debug;OOT_GROTTO; Royal Grave;;;
OOT_GRAVE_DAMPE; oot; 0x44f; grave;OOT_GRAVEYARD; areas;OOT Graveyard; OOT Dampe Grave; reverse; OOT_GRAVE_EXIT_DAMPE; debug;OOT_GROTTO; Dampe Grave;;;
OOT_GROTTO_EXIT_GENERIC_KOKIRI_FOREST; oot; 0x1100; grotto-exit;NONE; areas;OOT Kokiri Forest Storms Grotto; OOT Kokiri Forest; reverse; OOT_GROTTO_GENERIC_KOKIRI_FOREST;;;;;;
OOT_GROTTO_EXIT_GENERIC_LOST_WOODS; oot; 0x1101; grotto-exit;NONE; areas;OOT Lost Woods Generic Grotto; OOT Lost Woods; reverse; OOT_GROTTO_GENERIC_LOST_WOODS;;;;;;
OOT_GROTTO_EXIT_GENERIC_KAKARIKO; oot; 0x1102; grotto-exit;NONE; areas;OOT Kakariko Generic Grotto; OOT Kakariko Back; reverse; OOT_GROTTO_GENERIC_KAKARIKO;;;;;;
OOT_GROTTO_EXIT_GENERIC_DMT; oot; 0x1103; grotto-exit;NONE; areas;OOT Death Mountain Storms Grotto; OOT Death Mountain; reverse; OOT_GROTTO_GENERIC_DMT;;;;;;
OOT_GROTTO_EXIT_GENERIC_DMC; oot; 0x1104; grotto-exit;NONE; areas;OOT Death Mountain Crater Generic Grotto; OOT Death Mountain Crater Top; reverse; OOT_GROTTO_GENERIC_DMC;;;;;;
OOT_GROTTO_EXIT_GENERIC_RIVER; oot; 0x1105; grotto-exit;NONE; areas;OOT Zora River Open Grotto; OOT Zora River Upper; reverse; OOT_GROTTO_GENERIC_RIVER;;;;;;
OOT_GROTTO_EXIT_GENERIC_HF_SOUTHEAST; oot; 0x1106; grotto-exit;NONE; areas;OOT Hyrule Field Southeast Grotto; OOT Hyrule Field; reverse; OOT_GROTTO_GENERIC_HF_SOUTHEAST;;;;;;
OOT_GROTTO_EXIT_GENERIC_HF_OPEN; oot; 0x1107; grotto-exit;NONE; areas;OOT Hyrule Field Open Grotto; OOT Hyrule Field; reverse; OOT_GROTTO_GENERIC_HF_OPEN;;;;;;
OOT_GROTTO_EXIT_GENERIC_HF_MARKET; oot; 0x1108; grotto-exit;NONE; areas;OOT Hyrule Field Grotto Near Market; OOT Hyrule Field; reverse; OOT_GROTTO_GENERIC_HF_MARKET;;;;;;
OOT_GROTTO_EXIT_FAIRY_SFM; oot; 0x1109; grotto-exit;NONE; areas;OOT Sacred Meadow Fairy Grotto; OOT Sacred Meadow; reverse; OOT_GROTTO_FAIRY_SFM;;;;;;
OOT_GROTTO_EXIT_FAIRY_HF; oot; 0x110a; grotto-exit;NONE; areas;OOT Hyrule Field Fairy Grotto; OOT Hyrule Field; reverse; OOT_GROTTO_FAIRY_HF;;;;;;
OOT_GROTTO_EXIT_FAIRY_RIVER; oot; 0x110b; grotto-exit;NONE; areas;OOT Zora River Boulder Grotto; OOT Zora River Upper; reverse; OOT_GROTTO_FAIRY_RIVER;;;;;;
OOT_GROTTO_EXIT_FAIRY_DOMAIN; oot; 0x110c; grotto-exit;NONE; areas;OOT Zora Domain Grotto; OOT Zora Domain; reverse; OOT_GROTTO_FAIRY_DOMAIN;;;;;;
OOT_GROTTO_EXIT_FAIRY_FORTRESS; oot; 0x110d; grotto-exit;NONE; areas;OOT Gerudo Fortress Grotto; OOT Gerudo Fortress Exterior; reverse; OOT_GROTTO_FAIRY_FORTRESS;;;;;;
OOT_GROTTO_EXIT_SCRUBS2_SFM; oot; 0x110e; grotto-exit;NONE; areas;OOT Sacred Meadow Storms Grotto; OOT Sacred Meadow; reverse; OOT_GROTTO_SCRUBS2_SFM;;;;;;
OOT_GROTTO_EXIT_SCRUBS2_RIVER; oot; 0x110f; grotto-exit;NONE; areas;OOT Zora River Storms Grotto; OOT Zora River; reverse; OOT_GROTTO_SCRUBS2_RIVER;;;;;;
OOT_GROTTO_EXIT_SCRUBS2_VALLEY; oot; 0x1110; grotto-exit;NONE; areas;OOT Gerudo Valley Storms Grotto; OOT Gerudo Valley After Bridge; reverse; OOT_GROTTO_SCRUBS2_VALLEY;;;;;;
OOT_GROTTO_EXIT_SCRUBS2_COLOSSUS; oot; 0x1111; grotto-exit;NONE; areas;OOT Desert Colossus Grotto; OOT Desert Colossus; reverse; OOT_GROTTO_SCRUBS2_COLOSSUS;;;;;;
OOT_GROTTO_EXIT_SCRUBS3_RANCH; oot; 0x1112; grotto-exit;NONE; areas;OOT Lon Lon Ranch Grotto; OOT Lon Lon Ranch; reverse; OOT_GROTTO_SCRUBS3_RANCH;;;;;;
OOT_GROTTO_EXIT_SCRUBS3_GORON_CITY; oot; 0x1113; grotto-exit;NONE; areas;OOT Goron City Grotto; OOT Goron City; reverse; OOT_GROTTO_SCRUBS3_GORON_CITY;;;;;;
OOT_GROTTO_EXIT_SCRUBS3_DMC; oot; 0x1114; grotto-exit;NONE; areas;OOT Death Mountain Crater Scrub Grotto; OOT Death Mountain Crater Bottom; reverse; OOT_GROTTO_SCRUBS3_DMC;;;;;;
OOT_GROTTO_EXIT_SCRUBS3_LAKE; oot; 0x1115; grotto-exit;NONE; areas;OOT Lake Hylia Grotto; OOT Lake Hylia; reverse; OOT_GROTTO_SCRUBS3_LAKE;;;;;;
OOT_GROTTO_EXIT_SCRUB_UPGRADE; oot; 0x1116; grotto-exit;NONE; areas;OOT Lost Woods Scrub Grotto; OOT Lost Woods Deep; reverse; OOT_GROTTO_SCRUB_UPGRADE;;;;;;
OOT_GROTTO_EXIT_SCRUB_HEART_PIECE; oot; 0x1117; grotto-exit;NONE; areas;OOT Hyrule Field Scrub Grotto; OOT Hyrule Field; reverse; OOT_GROTTO_SCRUB_HEART_PIECE;;;;;;
OOT_GROTTO_EXIT_DEKU_THEATER; oot; 0x1118; grotto-exit;NONE; areas;OOT Deku Theater; OOT Lost Woods Deep; reverse; OOT_GROTTO_DEKU_THEATER;;;;;;
OOT_GROTTO_EXIT_WOLFOS; oot; 0x1119; grotto-exit;NONE; areas;OOT Wolfos Grotto; OOT Sacred Meadow Entryway; reverse; OOT_GROTTO_WOLFOS;;;;;;
OOT_GROTTO_EXIT_TEKTITE; oot; 0x111a; grotto-exit;NONE; areas;OOT Hyrule Field Tektite Grotto; OOT Hyrule Field; reverse; OOT_GROTTO_TEKTITE;;;;;;
OOT_GROTTO_EXIT_FIELD_COW; oot; 0x111b; grotto-exit;NONE; areas;OOT Hyrule Field Grotto Near GV; OOT Hyrule Field; reverse; OOT_GROTTO_FIELD_COW;;;;;;
OOT_GROTTO_EXIT_FIELD_TREE; oot; 0x111c; grotto-exit;NONE; areas;OOT Hyrule Field Grotto Near Kak; OOT Hyrule Field; reverse; OOT_GROTTO_FIELD_TREE;;;;;;
OOT_GROTTO_EXIT_TRAIL_COW; oot; 0x111d; grotto-exit;NONE; areas;OOT Death Mountain Cow Grotto; OOT Death Mountain; reverse; OOT_GROTTO_TRAIL_COW;;;;;;
OOT_GROTTO_EXIT_CASTLE; oot; 0x111e; grotto-exit;NONE; areas;OOT Hyrule Castle Grotto; OOT Hyrule Castle Near Grotto; reverse; OOT_GROTTO_CASTLE;;;;;;
OOT_GROTTO_EXIT_REDEAD; oot; 0x111f; grotto-exit;NONE; areas;OOT ReDead Grotto; OOT Kakariko; reverse; OOT_GROTTO_REDEAD;;;;;;
